,M,S,E,I,C,R,Total,Rep
0.026966065441466576,137,23,0,2,0,840,1002,2
0.02771135872734345,138,23,0,2,0,840,1003,2
0.027851736931440225,139,23,0,2,0,840,1004,2
0.028234964161649403,139,22,1,2,0,840,1004,2
0.028409477577612648,139,22,1,1,0,841,1004,2
0.029566126763027833,139,22,1,1,0,840,1003,2
0.02995363576960397,139,22,1,1,0,839,1002,2
0.02999999999999997,138,23,1,1,0,839,1002,2
0.02999999999999997,137,24,1,1,0,839,1002,2
0.02999999999999997,136,25,1,1,0,839,1002,2
0.0322252141651053,136,25,0,2,0,839,1002,2
0.03284148576059391,136,25,0,1,0,840,1002,2
0.03436281807915229,137,25,0,1,0,840,1003,2
0.03444555059824475,138,25,0,1,0,840,1004,2
0.03548399366760586,139,25,0,1,0,840,1005,2
0.036436486328654816,139,25,0,1,0,839,1004,2
0.03725518999705723,140,25,0,1,0,839,1005,2
0.037370677075633546,141,25,0,1,0,839,1006,2
0.037546877902878695,141,24,0,1,0,839,1005,2
0.037636270010381244,142,24,0,1,0,839,1006,2
0.03857630329901998,143,24,0,1,0,839,1007,2
0.03986904906097699,143,24,0,1,0,838,1006,2
0.040032157526332185,144,24,0,1,0,838,1007,2
0.04040564582223018,144,23,1,1,0,838,1007,2
0.041039874618168826,144,23,0,2,0,838,1007,2
0.04135230116382284,145,23,0,2,0,838,1008,2
0.04158831838155268,145,22,1,2,0,838,1008,2
0.0422290872424691,145,22,1,2,0,837,1007,2
0.042642498863755283,146,22,1,2,0,837,1008,2
0.04292529266057456,147,22,1,2,0,837,1009,2
0.04425229434478524,147,21,2,2,0,837,1009,2
0.04441299891991037,148,21,2,2,0,837,1010,2
0.0446521213106933,148,21,1,3,0,837,1010,2
0.045261821921423556,148,20,2,3,0,837,1010,2
0.0458246423012374,148,19,3,3,0,837,1010,2
0.04619486335932691,148,19,2,4,0,837,1010,2
0.046750500965553866,148,19,1,5,0,837,1010,2
0.04780509715231912,148,19,0,6,0,837,1010,2
0.04848647994416677,148,19,0,5,0,838,1010,2
0.04897241011741176,149,19,0,5,0,838,1011,2
0.04897641984045731,148,19,0,5,0,838,1010,2
0.05148835090439451,148,18,1,5,0,838,1010,2
0.05309016709475911,148,18,0,6,0,838,1010,2
0.05467727301153147,148,18,0,6,0,837,1009,2
0.05590930587920553,148,18,0,5,0,838,1009,2
0.05610233835373539,149,18,0,5,0,838,1010,2
0.05620838933324457,149,18,0,5,0,837,1009,2
0.0567380228851672,149,18,0,4,0,838,1009,2
0.05739595938463471,149,18,0,4,0,837,1008,2
0.05744590301262997,150,18,0,4,0,837,1009,2
0.05867305942092971,150,18,0,4,0,836,1008,2
0.058907164040138196,151,18,0,4,0,836,1009,2
0.05939031668734218,151,18,0,4,0,835,1008,2
0.05959529239108685,151,18,0,3,0,836,1008,2
0.05996170019892127,152,18,0,3,0,836,1009,2
0.06,151,19,0,3,0,836,1009,2
0.060493767060206594,151,19,0,3,0,835,1008,2
0.06090345623760307,151,18,1,3,0,835,1008,2
0.060949710531178654,152,18,1,3,0,835,1009,2
0.06111865651470105,151,18,1,3,0,835,1008,2
0.06130968901480898,152,18,1,3,0,835,1009,2
0.061363287557351036,152,18,1,2,0,836,1009,2
0.06166410927055993,152,18,1,1,0,837,1009,2
0.0621280118881235,152,18,1,0,0,838,1009,2
0.06226204194205237,153,18,1,0,0,838,1010,2
0.062483362343721316,153,18,1,0,0,837,1009,2
0.06253471767281749,154,18,1,0,0,837,1010,2
0.06290983876327623,155,18,1,0,0,837,1011,2
0.06296638358745099,155,18,1,0,0,836,1010,2
0.06430009003100103,155,18,0,1,0,836,1010,2
0.06514360553011445,155,18,0,1,0,835,1009,2
0.06567249113937088,156,18,0,1,0,835,1010,2
0.06593070484296318,157,18,0,1,0,835,1011,2
0.06775596977151342,158,18,0,1,0,835,1012,2
0.06868823075205395,159,18,0,1,0,835,1013,2
