,M,S,I,R,Total,Rep
0.008934796876739919,67,236,2,697,1002,5
0.010266865152343985,67,235,2,697,1001,5
0.011638453279763044,67,236,2,697,1002,5
0.01287729219020179,67,236,1,698,1002,5
0.012893759542815977,68,236,1,698,1003,5
0.013637813848148994,68,236,1,697,1002,5
0.017638081403900444,69,236,1,697,1003,5
0.018682914859453347,70,236,1,697,1004,5
0.02016403140890438,70,236,0,698,1004,5
0.021706147774410586,71,236,0,698,1005,5
0.0,52,282,6,660,1000,6
0.0012820162087223055,52,283,6,660,1001,6
0.003711948281402046,52,283,5,661,1001,6
0.004094841667780685,52,283,4,662,1001,6
0.00538161236893414,52,282,5,662,1001,6
0.00554706887830251,52,281,6,662,1001,6
0.005742770247695274,53,281,6,662,1002,6
0.006923715506022288,53,281,5,663,1002,6
0.007903317732097292,53,281,5,662,1001,6
0.008618084750934212,54,281,5,662,1002,6
0.009957793731283911,54,281,4,663,1002,6
0.010000000000000009,53,282,4,663,1002,6
0.010000000000000009,52,283,4,663,1002,6
0.010000000000000009,51,284,4,663,1002,6
0.01127775160024616,52,284,4,663,1003,6
0.012595991416354146,51,284,4,663,1002,6
0.013071763631521353,52,284,4,663,1003,6
0.013989960549066672,52,283,5,663,1003,6
0.014052190768125812,52,282,6,663,1003,6
0.014864726369055824,52,281,7,663,1003,6
0.016216568422619808,52,281,6,664,1003,6
0.017626702799316232,52,280,7,664,1003,6
0.017712895037561814,52,280,6,665,1003,6
0.01798585503529182,52,279,7,665,1003,6
0.018108849048568316,52,279,6,666,1003,6
0.01864946248266531,52,279,5,667,1003,6
0.019063083467827143,52,278,6,667,1003,6
0.01990085319525237,52,278,5,668,1003,6
0.0199227987173205,52,277,6,668,1003,6
0.021343645403449803,52,277,5,669,1003,6
0.02146361583351868,52,277,4,670,1003,6
0.021623931303591956,52,276,5,670,1003,6
0.022285269878747332,52,275,6,670,1003,6
0.022658137675892833,52,275,5,671,1003,6
0.023580283345131847,52,275,5,670,1002,6
0.02410189740453849,51,275,5,670,1001,6
0.024600647722998397,52,275,5,670,1002,6
0.025422792282080647,53,275,5,670,1003,6
0.027197651506092727,54,275,5,670,1004,6
0.0272333627119173,53,275,5,670,1003,6
0.0291917166362461,54,275,5,670,1004,6
0.0309680103100674,55,275,5,670,1005,6
0.032337258980603245,55,275,5,669,1004,6
0.034561470473470635,55,274,6,669,1004,6
0.03496327207903427,55,274,6,668,1003,6
0.037387367138840125,55,274,5,669,1003,6
0.03748076472537793,55,274,4,670,1003,6
0.03763152772020284,55,274,4,669,1002,6
0.03890775607245285,56,274,4,669,1003,6
0.0393831432972103,56,273,5,669,1003,6
0.03977364823780532,56,272,6,669,1003,6
0.03992236335719636,56,271,7,669,1003,6
0.04046326572584907,56,270,8,669,1003,6
0.041072989770445684,56,269,9,669,1003,6
0.04199635746407207,55,269,9,669,1002,6
0.04254791868167844,55,268,10,669,1002,6
0.04325247902981532,55,268,9,670,1002,6
0.043378333774955584,55,267,10,670,1002,6
0.0435482597945994,55,267,9,671,1002,6
0.044678201071263385,55,267,8,672,1002,6
0.04561493135257993,55,266,9,672,1002,6
0.04566652552742667,55,266,9,671,1001,6
0.04726651127808243,56,266,9,671,1002,6
0.04804524692606986,56,266,8,672,1002,6
0.04907048784706413,56,265,9,672,1002,6
0.04954091037642269,56,265,8,673,1002,6
0.04969312812474677,56,265,7,674,1002,6
0.0497671818222303,56,264,8,674,1002,6
0.05017033797913459,56,263,9,674,1002,6
0.05032360396293756,56,263,8,675,1002,6
0.050893950116530404,56,263,7,676,1002,6
0.05111860083236419,57,263,7,676,1003,6
0.0511682904845419,57,262,8,676,1003,6
0.05123440225030902,57,261,9,676,1003,6
0.05253181250884073,58,261,9,676,1004,6
0.05264576516878888,58,261,8,677,1004,6
0.05369663725172625,58,260,9,677,1004,6
0.053933900564791096,58,260,8,678,1004,6
0.05406172292724919,58,260,7,679,1004,6
0.05409887184174587,58,260,6,680,1004,6
0.05646977682771112,59,260,6,680,1005,6
