,M,S,I,R,Total,Rep
0.0,55,410,1,534,1000,0
0.005505354134583288,56,410,1,534,1001,0
0.007471460067989517,56,411,1,534,1002,0
0.00910192062648818,56,411,1,533,1001,0
0.012500191477951221,57,411,1,533,1002,0
0.01448947099714494,58,411,1,533,1003,0
0.017085323910359194,59,411,1,533,1004,0
0.017866423308784157,59,412,1,533,1005,0
0.02299774509881985,59,413,1,533,1006,0
0.023632722758732492,60,413,1,533,1007,0
0.027130203896419902,60,413,0,534,1007,0
0.02802896769283535,61,413,0,534,1008,0
0.0,64,377,3,556,1000,1
0.002247495735381526,64,376,4,556,1000,1
0.0031234689119246134,64,375,5,556,1000,1
0.0032537063961546476,64,374,6,556,1000,1
0.003585896628054779,65,374,6,556,1001,1
0.0037364543938119723,65,373,7,556,1001,1
0.00463607574053038,65,372,8,556,1001,1
0.005733226477924213,65,373,8,556,1002,1
0.0067997854131818004,65,372,9,556,1002,1
0.007836330268949244,65,372,8,557,1002,1
0.007990006316194993,65,372,7,558,1002,1
0.008758969448436349,65,371,7,558,1001,1
0.009777751815967396,65,370,8,558,1001,1
0.011796266180975123,64,370,8,558,1000,1
0.012660472337067803,64,370,7,559,1000,1
0.013662802390993522,65,370,7,559,1001,1
0.013850422592082332,65,370,6,560,1001,1
0.01464222495223665,65,370,5,561,1001,1
0.015249778645925933,65,370,4,562,1001,1
0.015425837526526943,65,370,3,563,1001,1
0.01544474074419984,65,370,2,564,1001,1
0.01622286289411637,65,369,3,564,1001,1
0.019211214085251282,65,369,2,565,1001,1
0.020029743975743572,66,369,2,565,1002,1
0.02126307265259908,66,368,2,565,1001,1
0.023102353131671725,66,368,1,566,1001,1
0.026000552711164193,66,367,1,566,1000,1
0.02680009446847542,66,367,1,565,999,1
0.028668414428178503,66,367,0,566,999,1
0.03324389565913943,66,367,0,565,998,1
0.0,65,400,8,527,1000,2
0.00046510569354910703,65,400,7,528,1000,2
0.0015797010758653392,65,399,8,528,1000,2
0.003115222035555269,66,399,8,528,1001,2
0.0038635938090651654,66,399,7,529,1001,2
0.004226777577041186,67,399,7,529,1002,2
0.004628292728386639,67,400,7,529,1003,2
0.00484861707686966,67,400,6,530,1003,2
0.004965913245475554,67,400,5,531,1003,2
0.008190522841689502,68,400,5,531,1004,2
0.008887233960151066,68,399,6,531,1004,2
0.010008471926899208,68,398,7,531,1004,2
0.011249077407540938,69,398,7,531,1005,2
0.012505106897655686,69,398,6,532,1005,2
0.01326881479459219,69,397,7,532,1005,2
0.013803859393030563,69,397,6,533,1005,2
0.01646151567811086,69,396,7,533,1005,2
0.018804720465012744,69,396,6,534,1005,2
0.01901033378396336,69,396,5,535,1005,2
0.019857218609365276,69,396,4,536,1005,2
0.02101921774158089,70,396,4,536,1006,2
0.021206535974972972,71,396,4,536,1007,2
0.022329638462505012,72,396,4,536,1008,2
0.02376267442633358,73,396,4,536,1009,2
0.02737122398012037,73,396,3,537,1009,2
0.028681351305669508,73,397,3,537,1010,2
0.02903785304610466,73,397,2,538,1010,2
0.02960304650924028,74,397,2,538,1011,2
0.03274437338702896,74,396,2,538,1010,2
0.03624392015184226,74,396,1,539,1010,2
0.036378532977812406,75,396,1,539,1011,2
0.03639257743618105,75,396,0,540,1011,2
0.041877012152783166,75,396,0,539,1010,2
0.0,54,358,6,582,1000,3
0.0005762726789413364,54,358,6,581,999,3
0.003522337482176674,54,357,6,581,998,3
0.0037604592806423517,54,357,5,582,998,3
0.005119445024602366,54,356,6,582,998,3
0.005565363090356985,54,355,7,582,998,3
0.00620274152928642,54,355,6,583,998,3
0.00629529499751976,54,355,5,584,998,3
0.008349303327965246,54,354,6,584,998,3
0.008403954726372547,55,354,6,584,999,3
0.00849214957109201,55,354,5,585,999,3
0.009331839928823903,55,353,6,585,999,3
0.010000000000000009,54,354,6,585,999,3
0.01225441392077227,54,353,7,585,999,3
0.012615494869741672,53,353,7,585,998,3
0.013211150433120626,53,352,8,585,998,3
0.01334326092674204,53,352,7,586,998,3
0.013935466844125013,54,352,7,586,999,3
0.014524016224287492,54,351,8,586,999,3
0.015063939054793835,54,350,9,586,999,3
0.016845308515437196,54,350,9,585,998,3
0.017165868895233076,54,350,8,586,998,3
0.018920529287872353,54,350,7,587,998,3
0.020517830305101202,54,349,8,587,998,3
0.021810504852144946,54,349,7,588,998,3
0.021842455579989206,54,349,7,587,997,3
0.02416038331750209,54,349,6,588,997,3
0.024761386416243262,54,348,7,588,997,3
0.024770786023056497,54,349,7,588,998,3
0.02681414654066164,54,349,6,589,998,3
0.027391109851534087,54,348,7,589,998,3
0.028406438358634684,54,348,6,590,998,3
0.02956306713087149,54,349,6,590,999,3
0.02959267885486082,54,349,5,591,999,3
0.03035092734403661,54,349,4,592,999,3
0.031389724164536344,54,349,3,593,999,3
0.03363620502117041,55,349,3,593,1000,3
0.03423433460121632,56,349,3,593,1001,3
0.034341122722727935,55,349,3,593,1000,3
0.03616250548326594,55,348,4,593,1000,3
0.03687938292923096,55,347,5,593,1000,3
0.038210893284903444,55,346,6,593,1000,3
0.038396965651791334,55,345,7,593,1000,3
0.03981448904537874,55,346,7,593,1001,3
0.039880355893998916,55,346,6,594,1001,3
0.04020768452518237,56,346,6,594,1002,3
0.040741998853585044,57,346,6,594,1003,3
0.04148469108789879,57,345,7,594,1003,3
0.0416566298983128,58,345,7,594,1004,3
0.042215955982416495,58,345,6,595,1004,3
0.0423181689788411,58,345,5,596,1004,3
0.043195632161108534,58,344,6,596,1004,3
0.044622245747937946,58,344,5,597,1004,3
0.04608744516910482,58,343,6,597,1004,3
0.047137946148513715,59,343,6,597,1005,3
0.047865673196855134,59,343,5,598,1005,3
0.04999999999999999,58,344,5,598,1005,3
0.05042309108344939,58,343,6,598,1005,3
0.05057946582092019,58,343,5,599,1005,3
0.05072570284298801,58,343,4,600,1005,3
0.05189086823061927,58,343,3,601,1005,3
0.05293692324201123,59,343,3,601,1006,3
0.057258264904761685,60,343,3,601,1007,3
0.057652285475188025,60,343,2,602,1007,3
0.05800012469768853,60,343,1,603,1007,3
0.06193158211115879,60,343,1,602,1006,3
0.06363403535491491,60,342,2,602,1006,3
0.06402270342453734,60,341,3,602,1006,3
0.06434915936703106,61,341,3,602,1007,3
0.0645860807595592,62,341,3,602,1008,3
0.06527480205267405,62,340,4,602,1008,3
0.06649591694779651,62,340,3,603,1008,3
0.06814860605664629,62,341,3,603,1009,3
0.0682005268564474,62,341,3,602,1008,3
0.07048314789745724,62,341,3,601,1007,3
0.0734032818424435,62,342,3,601,1008,3
0.07421724402226398,63,342,3,601,1009,3
0.0746365952638698,63,343,3,601,1010,3
0.07634947706555875,63,342,4,601,1010,3
0.07704561693481882,63,342,4,600,1009,3
0.07779669511896772,63,342,3,601,1009,3
0.07798800056510673,64,342,3,601,1010,3
0.07848376487483776,64,341,4,601,1010,3
0.07905517821137464,64,341,3,602,1010,3
0.08237841114107407,63,341,3,602,1009,3
0.08289752717159801,63,340,4,602,1009,3
0.0851417281984485,63,339,5,602,1009,3
0.08526830676957567,63,339,4,603,1009,3
0.08667621946323796,63,338,5,603,1009,3
0.08690026698941283,63,338,4,604,1009,3
0.08999999999999997,62,339,4,604,1009,3
0.09038548939091554,62,339,3,605,1009,3
0.0930636316588401,63,339,3,605,1010,3
0.09602717097911247,63,340,3,605,1011,3
0.09631681594673305,63,340,2,606,1011,3
0.0971417602219461,63,339,3,606,1011,3
0.105595395900492,64,339,3,606,1012,3
0.10694448352978228,64,338,4,606,1012,3
0.10694882830021533,65,338,4,606,1013,3
0.10848951123387789,65,339,4,606,1014,3
0.10898595638825917,66,339,4,606,1015,3
0.11093011963826452,66,340,4,606,1016,3
0.11097120200004248,66,341,4,606,1017,3
0.11509457025331316,66,341,3,607,1017,3
0.11585733031623383,66,341,2,608,1017,3
0.11960079942471986,67,341,2,608,1018,3
0.12,66,342,2,608,1018,3
0.12086392677181144,67,342,2,608,1019,3
0.1217625809523138,68,342,2,608,1020,3
0.12422229984517773,69,342,2,608,1021,3
0.12535249929449307,69,342,1,609,1021,3
0.1254199544646423,70,342,1,609,1022,3
0.1261635675241413,71,342,1,609,1023,3
0.12794942548749727,72,342,1,609,1024,3
0.13,71,343,1,609,1024,3
0.13062563701969354,71,342,1,609,1023,3
0.1326625509408301,72,342,1,609,1024,3
0.13296121803386485,73,342,1,609,1025,3
0.13438076657144649,73,342,1,608,1024,3
0.13717759172787722,74,342,1,608,1025,3
0.1380204292681172,74,342,0,609,1025,3
0.13997499976335212,75,342,0,609,1026,3
0.0,65,365,5,565,1000,4
0.0007650000974258345,65,364,6,565,1000,4
0.0036009868925963393,66,364,6,565,1001,4
0.004280856452955448,66,363,7,565,1001,4
0.004505454133759524,67,363,7,565,1002,4
0.005806310258869548,67,362,8,565,1002,4
0.005985918773729004,67,362,7,566,1002,4
0.0064050567293541935,67,361,8,566,1002,4
0.006569426615979282,67,361,7,567,1002,4
0.008536337897724792,67,360,8,567,1002,4
0.008583392355978886,67,359,9,567,1002,4
0.008603860390030305,68,359,9,567,1003,4
0.008909216727592291,68,358,10,567,1003,4
0.009436149415441677,68,357,11,567,1003,4
0.009886701108057106,68,357,10,568,1003,4
0.010134930293485273,69,357,10,568,1004,4
0.011097013387716265,69,356,11,568,1004,4
0.011900580231759803,69,355,12,568,1004,4
0.011914156586566485,70,355,12,568,1005,4
0.012474586516554285,70,355,11,569,1005,4
0.01322894675243026,70,354,12,569,1005,4
0.013935057815037455,70,353,13,569,1005,4
0.014176585883979463,70,352,14,569,1005,4
0.014532882997019495,70,352,13,570,1005,4
0.014686470845351586,70,352,12,571,1005,4
0.015187478792540034,70,351,13,571,1005,4
0.015344879452314997,70,351,12,572,1005,4
0.01676948055234725,70,351,11,573,1005,4
0.017419757262298177,70,350,12,573,1005,4
0.017818474507625977,70,349,13,573,1005,4
0.018807199149190126,70,349,12,574,1005,4
0.0195398517824698,70,348,13,574,1005,4
0.01959900596457929,70,347,14,574,1005,4
0.020257372074666196,70,346,15,574,1005,4
0.020759690996576936,71,346,15,574,1006,4
0.021096340351393864,72,346,15,574,1007,4
0.02117892635463601,72,346,14,575,1007,4
0.021383465145056523,73,346,14,575,1008,4
0.021422945651171928,73,346,13,576,1008,4
0.021854549732933066,73,345,14,576,1008,4
0.023219812112923014,73,344,15,576,1008,4
0.024264991126059947,73,344,14,577,1008,4
0.024498500117521985,73,344,13,578,1008,4
0.02453563128138806,74,344,13,578,1009,4
0.02671436905918262,75,344,13,578,1010,4
0.026908234029009218,75,344,12,579,1010,4
0.027346270278023586,75,344,11,580,1010,4
0.027787610696958415,75,343,12,580,1010,4
0.029116974844012815,75,343,11,581,1010,4
0.02999999999999997,74,344,11,581,1010,4
0.0300807373553146,74,343,12,581,1010,4
0.03013959134000444,74,342,13,581,1010,4
0.03061836154838835,74,341,14,581,1010,4
0.030909771669461822,74,341,13,582,1010,4
0.03096387169449867,75,341,13,582,1011,4
0.03222269309598158,75,340,14,582,1011,4
0.032373425174105915,75,340,13,583,1011,4
0.03237475215229573,75,340,12,584,1011,4
0.032872849090307465,75,340,11,585,1011,4
0.032959128497336315,75,340,10,586,1011,4
0.03330096422008067,75,340,9,587,1011,4
0.033499724717334124,75,340,8,588,1011,4
0.03585075054058237,75,340,7,589,1011,4
0.03602824911855454,75,340,6,590,1011,4
0.03829683024072164,76,340,6,590,1012,4
0.0391895523718758,77,340,6,590,1013,4
0.039846862195431966,78,340,6,590,1014,4
0.03999999999999998,77,341,6,590,1014,4
0.040098495710919085,77,341,5,591,1014,4
0.040271874348377756,76,341,5,591,1013,4
0.041247911069922844,77,341,5,591,1014,4
0.041364627840123555,77,340,6,591,1014,4
0.04213818483525523,77,340,5,592,1014,4
0.042740708369132706,77,340,4,593,1014,4
0.044948936126371936,77,340,3,594,1014,4
0.04573956453994554,78,340,3,594,1015,4
0.04583754330685921,78,339,4,594,1015,4
0.04735778053639232,78,339,3,595,1015,4
0.04871316378901512,79,339,3,595,1016,4
0.04927509399161763,79,339,2,596,1016,4
0.05034830780107445,80,339,2,596,1017,4
0.05067757359763439,80,340,2,596,1018,4
0.051593596743215286,80,340,2,595,1017,4
0.05445976549922905,80,339,3,595,1017,4
0.05493977099113259,80,340,3,595,1018,4
0.056417298322263554,80,339,4,595,1018,4
0.059950882780426144,80,339,3,596,1018,4
0.060385099691325196,81,339,3,596,1019,4
0.06225001054183227,81,340,3,596,1020,4
0.06344293809070406,81,340,2,597,1020,4
0.0676814329948653,82,340,2,597,1021,4
0.07005057979027306,82,340,1,598,1021,4
0.0738669671521721,82,341,1,598,1022,4
0.07520570640590293,83,341,1,598,1023,4
0.0754578949400171,83,340,2,598,1023,4
0.07704258756543636,83,339,3,598,1023,4
0.0795645945302815,83,339,2,599,1023,4
0.08000000000000002,82,340,2,599,1023,4
0.08000000000000002,81,341,2,599,1023,4
0.08088997813810117,81,341,2,598,1022,4
0.08577496819678825,81,342,2,598,1023,4
0.08999999999999997,80,343,2,598,1023,4
0.09050782390654255,79,343,2,598,1022,4
0.09460020816653375,79,342,3,598,1022,4
0.09659803844041484,79,341,4,598,1022,4
0.09689459007179,79,341,3,599,1022,4
0.09780135777879626,79,341,2,600,1022,4
0.09820757603539337,78,341,2,600,1021,4
0.0987106369182543,79,341,2,600,1022,4
0.09903863174147266,80,341,2,600,1023,4
0.09999999999999998,79,342,2,600,1023,4
0.09999999999999998,78,343,2,600,1023,4
0.10125649938055443,79,343,2,600,1024,4
0.10169439112242912,80,343,2,600,1025,4
0.10268730511692617,79,343,2,600,1024,4
0.10582502751719772,80,343,2,600,1025,4
0.10610987620367197,81,343,2,600,1026,4
0.10777118380938733,81,343,2,599,1025,4
0.10821535165950885,81,344,2,599,1026,4
0.10928201779823699,81,344,2,598,1025,4
0.11307119299941523,81,343,3,598,1025,4
0.11575615731390533,81,342,4,598,1025,4
0.11682162361299757,81,342,3,599,1025,4
0.1170351496919606,81,341,3,599,1024,4
0.1183157133641295,81,341,3,598,1023,4
0.11920137094943993,82,341,3,598,1024,4
0.1196977895471329,82,340,4,598,1024,4
0.11995474571967506,83,340,4,598,1025,4
0.12,82,341,4,598,1025,4
0.12139777972390654,82,340,5,598,1025,4
0.12179057590610766,83,340,5,598,1026,4
0.12218965609233226,83,339,6,598,1026,4
0.12220424566418504,83,338,7,598,1026,4
0.12272817334112114,83,337,8,598,1026,4
0.1250472893852566,83,337,7,599,1026,4
0.12529220748565756,84,337,7,599,1027,4
0.12715115637182484,84,336,8,599,1027,4
0.127551597426244,84,336,8,598,1026,4
0.12783842960287117,84,336,8,597,1025,4
0.13015088374752248,85,336,8,597,1026,4
0.1305519815204983,85,336,7,598,1026,4
0.1309772212490632,85,336,7,597,1025,4
0.1319213026664332,85,335,8,597,1025,4
0.13208419674747474,86,335,8,597,1026,4
0.13212816846722797,87,335,8,597,1027,4
0.13399622475420947,87,334,9,597,1027,4
0.1346850487312144,87,333,10,597,1027,4
0.13555926596390655,87,332,11,597,1027,4
0.13598616437279348,87,333,11,597,1028,4
0.1360055035838487,87,333,10,598,1028,4
0.13711930713442275,87,333,9,599,1028,4
0.13717361083453194,87,333,8,600,1028,4
0.1401053022179219,87,333,7,601,1028,4
0.14020167394299957,87,333,6,602,1028,4
0.1410366441410016,87,332,6,602,1027,4
0.14160635026897558,87,331,7,602,1027,4
0.1416578673352034,87,331,6,603,1027,4
0.14196900605486007,87,331,5,604,1027,4
0.14272709024209543,87,331,4,605,1027,4
0.14350385381970507,87,331,3,606,1027,4
0.1442970482661756,87,331,2,607,1027,4
0.14602673539289576,87,331,1,608,1027,4
0.1522042362620472,88,331,1,608,1028,4
0.15512059502893383,88,332,1,608,1029,4
0.1555426913159792,88,332,1,607,1028,4
0.16091496331389088,88,332,1,606,1027,4
0.16124389982060805,88,331,1,606,1026,4
0.16127184998807687,88,331,0,607,1026,4
0.16212352007912326,88,332,0,607,1027,4
0.0,63,381,4,552,1000,5
0.00022363677863701525,63,381,4,551,999,5
0.0019499889799360326,63,381,3,552,999,5
0.005382816667043863,63,380,4,552,999,5
0.00556153593349466,63,380,3,553,999,5
0.007798938488069761,63,380,2,554,999,5
0.008026010028610697,63,379,2,554,998,5
0.008169505070776024,63,379,1,555,998,5
0.010866177351489308,64,379,1,555,999,5
0.0136737588419088,63,379,1,555,998,5
0.015202874551113885,64,379,1,555,999,5
0.01538250150505327,64,378,1,555,998,5
0.017623035367075067,64,377,2,555,998,5
0.019258443480031796,64,377,1,556,998,5
0.019557477495915042,64,376,2,556,998,5
0.02198691072595601,64,375,3,556,998,5
0.022919895000796935,64,374,4,556,998,5
