   7.2825866e-01	   3.4498986e+00	   7.0792573e+00	   3.6034821e+00	   2.7980703e+00	
   2.2100218e+00	   2.6259661e+00	   4.7541669e+00	   5.3872360e+00	   2.6979511e+00	
   2.6618233e+00	   2.8506514e+00	   6.2185154e+00	   4.9716309e+00	   2.4527071e+00	
   6.4840181e-01	   2.9844210e+00	   5.1287051e+00	   5.5181829e+00	   2.2257955e+00	
   9.4330852e-01	   4.6826243e+00	   4.8461139e+00	   3.7055331e+00	   1.1389109e+00	
   1.4296779e+00	   3.7143784e+00	   2.8971582e+00	   2.9650158e+00	   1.3765015e+00	
   2.0355838e+00	   2.6607207e+00	   2.2668114e+00	   4.9526720e+00	   2.9786182e+00	
   7.2676867e-01	   3.3165532e+00	   1.7936281e+00	   6.1159558e+00	   2.5608862e+00	
   1.5887435e+00	   4.0722220e+00	   2.4118946e+00	   5.5066427e+00	   1.4094352e+00	
   1.2255915e+00	   3.2784415e+00	   2.9647450e+00	   3.9180393e+00	   1.1279661e+00	
   9.6156440e-01	   3.2060894e+00	   3.6111662e+00	   4.9105594e+00	   6.9985245e-01	
   3.4717942e+00	   5.1165663e+00	   3.3121037e+00	   4.7303929e+00	   1.2363718e+00	
   6.9766737e-01	   3.5701166e+00	   1.7929703e+00	   7.2922027e+00	   1.4053502e+00	
   6.4271834e-01	   4.5900722e+00	   5.8537734e+00	   5.1476293e+00	   9.4826282e-01	
   1.4927754e+00	   3.6509592e+00	   8.6458490e+00	   4.3417073e+00	   1.6148168e+00	
   9.0561626e-01	   2.7422610e+00	   6.0352549e+00	   4.1761898e+00	   3.6715642e+00	
   8.2439701e-01	   2.0792871e+00	   5.5183288e+00	   3.7530477e+00	   2.1839085e+00	
   1.5609397e+00	   1.9923224e+00	   2.1857663e+00	   5.3543849e+00	   1.4494051e+00	
   4.7424552e-01	   1.2223312e+00	   2.4884098e+00	   5.1463906e+00	   9.8021731e-01	
   1.4798129e+00	   3.4256576e+00	   1.2923688e+00	   6.1343176e+00	   1.5092740e+00	
   1.3264242e+00	   5.0018341e+00	   2.4926710e+00	   6.2035219e+00	   2.1804940e+00	
