ID,capture,year,month,day
20,11,2015,12,2
20,12,2016,3,1
20,13,2016,5,30
20,14,2016,8,1
20,15,2016,10,4
20,16,2016,12,6
20,17,,,
20,18,2017,5,30
20,19,2017,8,2
21,1,2014,3,5
21,3,2014,6,6
21,4,2014,8,12
21,5,2014,10,28
21,6,2014,12,5
21,7,2015,2,23
21,8,2015,6,3
21,9,2015,8,3
21,10,2015,10,5
21,11,2015,12,1
21,12,2016,2,29
21,13,2016,5,31
21,14,2016,8,2
21,15,2016,10,4
21,16,2016,12,6
21,17,,,
21,18,2017,5,29
21,19,2017,8,2
22,1,2014,3,5
22,3,2014,6,6
22,4,2014,8,12
22,5,2014,10,14
23,1,2014,3,5
23,3,2014,6,6
23,4,2014,8,12
23,5,2014,10,28
23,6,2014,12,5
23,7,2015,2,23
23,8,2015,6,3
23,9,2015,8,4
23,10,,,
23,11,2015,12,1
23,12,2016,3,1
23,13,2016,5,31
23,14,2016,8,1
23,15,2016,10,5
23,16,2016,12,5
23,17,,,
23,18,2017,5,30
23,19,2017,8,2
24,1,2014,4,1
24,3,2014,6,6
24,4,2014,8,11
24,5,2014,10,24
24,6,2014,12,5
25,1,2014,3,19
25,3,2014,6,6
25,4,2014,8,12
25,5,2014,10,14
26,1,2014,3,19
26,3,2014,6,6
26,4,2014,8,13
26,5,2014,10,14
26,6,2014,12,4
26,7,2015,2,23
26,8,2015,6,3
26,9,2015,8,3
26,10,2015,10,5
26,11,2015,12,1
26,12,2016,3,2
26,13,2016,5,31
26,14,2016,8,1
26,15,2016,10,4
26,16,2016,12,5
26,17,,,
26,18,2017,5,29
26,19,2017,8,3
27,3,2014,6,6
27,4,2014,8,12
27,5,2014,10,24
27,6,2014,12,5
27,7,2015,2,24
27,8,2015,6,2
27,9,2015,8,3
27,10,2015,10,6
27,11,2015,12,2
27,12,2016,3,1
27,13,2016,5,30
27,14,2016,8,1
27,15,2016,10,3
27,16,2016,12,6
27,17,,,
27,19,2017,8,2
28,1,2014,3,5
28,3,2014,6,6
28,4,2014,8,12
28,5,2014,10,28
28,6,2014,12,4
28,7,2015,2,23
28,8,2015,6,3
28,9,2015,8,3
28,10,2015,10,6
28,11,2015,12,1
28,12,2016,3,1
28,13,2016,5,31
28,14,2016,8,2
28,15,2016,10,5
28,16,2016,12,5
28,17,2017,2,28
28,18,2017,5,29
28,19,2017,8,2
29,1,2014,3,19
29,3,2014,6,7
29,4,2014,8,13
30,1,2014,3,19
30,3,2014,6,7
30,4,2014,8,13
30,5,2014,10,14
30,6,2014,12,4
30,7,2015,2,25
30,8,2015,6,2
30,9,2015,8,3
30,10,2015,10,6
30,11,2015,12,1
30,12,2016,3,2
30,13,2016,5,30
30,14,2016,8,1
30,15,2016,10,4
30,16,2016,12,5
30,17,,,
30,18,2017,5,29
30,19,2017,8,3
31,1,2014,3,20
31,3,2014,6,6
31,4,2014,8,13
31,5,2014,10,14
31,6,2014,12,4
31,7,2015,2,24
31,8,2015,6,2
31,9,2015,8,4
31,10,2015,10,6
31,11,2015,12,2
31,12,2016,3,1
31,13,2016,5,31
31,14,2016,8,1
31,15,2016,10,5
32,1,2014,3,20
32,3,2014,6,6
32,4,2014,8,12
32,5,2014,10,14
32,6,2014,12,5
32,7,2015,2,24
32,8,2015,6,2
32,9,2015,8,4
32,10,,,
32,11,2015,12,1
32,12,2016,3,2
32,13,2016,5,31
33,1,2014,3,20
33,3,2014,6,6
33,4,2014,8,13
33,5,2014,10,14
33,6,2014,12,8
33,7,2015,2,24
33,8,2015,6,2
33,9,2015,8,3
33,10,,,
33,11,2015,11,30
33,12,2016,2,29
33,13,2016,5,30
33,14,2016,8,1
33,15,2016,10,3
33,16,2016,12,5
33,17,,,
33,18,2017,5,29
33,19,2017,8,3
34,1,2014,3,20
34,3,2014,6,6
34,4,2014,8,12
34,5,2014,10,14
34,6,2014,12,5
34,7,2015,2,24
34,8,2015,6,2
34,9,2015,8,3
34,10,2015,10,6
34,11,2015,11,30
34,12,2016,3,2
34,13,2016,5,31
34,14,2016,8,2
34,15,2016,10,4
34,16,2016,12,5
34,17,,,
34,18,2017,5,30
34,19,2017,8,3
35,1,2014,3,20
35,3,2014,6,6
35,4,2014,8,12
35,5,2014,10,28
35,6,2014,12,5
35,7,2015,2,24
35,8,2015,6,2
35,9,2015,8,4
35,10,2015,10,6
35,11,2015,12,1
35,12,2016,3,2
35,13,2016,5,30
35,14,2016,8,2
35,15,2016,10,5
35,16,2016,12,5
35,17,2017,2,28
35,18,2017,5,29
35,19,2017,8,2
36,1,2014,3,20
36,3,2014,6,6
36,4,2014,8,13
36,5,2014,10,24
36,6,2014,12,5
36,7,2015,2,23
36,8,2015,6,3
36,9,2015,8,4
36,10,2015,10,5
36,11,2015,12,2
36,12,2016,3,2
36,13,2016,5,31
36,14,2016,8,2
36,15,2016,10,5
36,16,2016,12,6
36,17,,,
36,18,2017,5,30
36,19,2017,8,2
37,4,2014,8,12
37,5,2014,10,14
38,8,2015,6,1
38,9,2015,8,4
38,10,2015,10,5
38,11,2015,11,30
38,12,2016,3,2
38,13,2016,5,31
38,14,2016,8,2
38,15,2016,10,3
38,16,2016,12,6
38,17,,,
38,18,2017,5,30
38,19,2017,8,2
39,8,2015,6,1
39,9,2015,8,4
39,10,2015,10,5
39,11,2015,11,30
39,12,2016,3,2
40,3,2014,6,7
40,4,2014,8,13
40,5,2014,10,14
40,6,2014,12,4
40,7,2015,2,23
40,8,2015,6,3
40,9,2015,8,4
40,10,2015,10,6
40,11,2015,12,2
40,12,2016,2,29
40,13,2016,5,30
40,14,2016,8,2
40,15,2016,10,4
40,16,2016,12,5
40,17,,,
40,18,2017,5,31
40,19,2017,8,2
41,1,2014,3,5
41,3,2014,6,6
41,4,2014,8,12
41,5,2014,10,28
41,6,2014,12,4
41,7,2015,2,24
41,8,2015,6,3
41,9,2015,8,3
41,10,2015,10,6
41,11,2015,12,2
41,12,2016,2,29
41,13,2016,5,31
41,14,2016,8,1
41,15,2016,10,3
41,16,2016,12,6
41,17,,,
41,18,2017,5,29
41,19,2017,8,3
42,1,2014,3,5
42,3,2014,6,6
42,4,2014,8,13
42,5,2014,10,28
42,6,2014,12,5
42,7,2015,2,24
42,8,2015,6,2
42,9,2015,8,5
42,10,,,
42,11,2015,12,1
42,12,2016,3,1
42,14,2016,8,2
42,15,2016,10,5
42,16,2016,12,6
42,17,2017,2,28
42,18,2017,5,29
